St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
65	213	6132	80350			3408	8105	180				202501		 28 832 		 28 832 	Seminariet Idrottshall	
65	214	3153	41622			9349	8036	180	8968			202501		-28 832 		-28 832 	Seminariet Idrottshall	
65	215	6132	80350			3408	8105	180				202501		 2 429 		 2 429 	Seminariet Idrottshall	
65	216	3153	41612			9347	8036	180	8968			202501		-2 429 		-2 429 	Seminariet Idrottshall	
66	217	6132	59260			9110	8105	180	001010			202501		 8 120 		 8 120 	Stadshuset	
66	218	3153	41612			9347	8035	150	001010			202501		-8 120 		-8 120 	Stadshuset	
66	219	6132	59260			9110	8105	180	001010			202501		 384 611 		 384 611 	Stadshuset 	
66	220	3153	41632			9349	8036	150	001010			202501		-384 611 		-384 611 	Stadshuset 	
67	221	6132	90005			9220	9502	180	015210			202501		 6 457 		 6 457 	Strand„ngens villor 	
67	222	3153	41621			9349	8032	120	015210			202501		-6 457 		-6 457 	Strand„ngens villor 	
68	223	3153	41622			9349	8036	170	8948			202501		-12 815 		-12 815 	Tellus idrottsv„gen 16 	
68	224	3153	41612			9347	8032	170	8948			202501		-1 684 		-1 684 	Tellus idrottsv„gen 16 	
68	225	3153	41612			9347	8035	170	8948			202501		-459 		-459 	Tellus idrottsv„gen 16 	
68	226	6132	70232			5686	7600	180				202501		 459 		 459 	Tellus idrottsv„gen 16 	
68	227	6132	70232			5686	7600	180				202501		 1 684 		 1 684 	Tellus idrottsv„gen 16 	
68	228	6132	70232			5686	7600	180				202501		 12 815 		 12 815 	Tellus idrottsv„gen 16 	
69	229	3153	41633			9349	8036	170				202501		-6 774 		-6 774 	Jourl„genheter samt kontor J„rnv„gsgatan	
69	230	6132	70210			5541	7600	180				202501		 3 387 		 3 387 	Jourl„genheter samt kontor J„rnv„gsgatan	
69	231	6132	70220			5570	7600	180				202501		 3 387 		 3 387 	Jourl„genheter samt kontor J„rnv„gsgatan	
70	232	3153	41633			9349	8036	170				202501		-3 664 		-3 664 	Kung Karl v†n 2	
70	233	3153	41612			9347	8036	170				202501		-1 903 		-1 903 	Kung Karl v†n 2	
70	234	3153	41612			9347	8035	170				202501		-411 		-411 	Kung Karl v†n 2	
70	235	6132	70285			5681	7600	180				202501		 5 978 		 5 978 	Kung Karl v†n 2	
9	236	3153	41633			9349	8036	162	0301			202501		-43 503 		-43 503 	Biblioteket	
9	237	3153	41612			9347	8036	162	0301			202501		-2 068 		-2 068 	Biblioteket	
