St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
18	67	3153	41612			9347	8035	130	0020			202501		-206 		-206 	F„ladsg†rden - Hemv†rden 	
18	68	3153	41612			9347	8035	130	0020			202501		-206 		-206 	F„ladsg†rden - Hemv†rden 	
18	69	3153	41612			9347	8035	130	0020			202501		-171 		-171 	F„ladsg†rden - Hemv†rden 	
18	70	3153	41612			9347	8035	130	0020			202501		-128 		-128 	F„ladsg†rden - Hemv†rden 	
19	71	6132	80350			3408	8105	180	6031			202501		 9 783 		 9 783 	Gymnastikens hus	
19	72	3153	41632			9349	8036	180	6031			202501		-9 783 		-9 783 	Gymnastikens hus	
20	73	6132	92400			4400	9502	180	007111			202501		 308 		 308 	Glumsl”vsskola	
20	74	3153	41623			9349	8032	120	007111			202501		-308 		-308 	Glumsl”vsskola	
21	75	6132	80350			3408	8105	180	08305			202501		 6 489 		 6 489 	H„rsl”vskola Idrottshall 	
21	76	3153	41623			9349	8036	180	8995			202501		-6 489 		-6 489 	H„rsl”vskola Idrottshall 	
22	77	6132	32307			5210	3111	180	8970			202501		 153 		 153 	Hjalmar Brantingsv„gen 11E	
22	78	6132	32307			5210	3111	180	8970			202501		 2 805 		 2 805 	Hjalmar Brantingsv„gen 11E	
22	79	6132	32307			5210	3111	180	8970			202501		 12 808 		 12 808 	Hjalmar Brantingsv„gen 11E	
22	80	3153	41611			9349	8036	130	8970			202501		-12 808 		-12 808 	Hjalmar Brantingsv„gen 11E	
22	81	3153	41612			9347	8032	130	8970			202501		-2 805 		-2 805 	Hjalmar Brantingsv„gen 11E	
22	82	3153	41612			9347	8035	130	8970			202501		-153 		-153 	Hjalmar Brantingsv„gen 11E	
23	83	6132	70261			5688	7600	180				202501		 4 493 		 4 493 	F„ltgruppen Kungsgatan 11, v†n 2	
23	84	3153	41612			9347	8036	170				202501		-801 		-801 	F„ltgruppen Kungsgatan 11, v†n 2	
23	85	3153	41612			9347	8036	170				202501		-3 692 		-3 692 	F„ltgruppen Kungsgatan 11, v†n 2	
24	86	6132	80350			3405	8105	180	08311			202501		 53 155 		 53 155 	Idrottshall Borstahusen 	
24	87	3153	41621			9349	8036	180	8903			202501		-53 155 		-53 155 	Idrottshall Borstahusen 	
24	88	6132	80350			3405	8105	180	08311			202501		 3 419 		 3 419 	Idrottshall Borstahusen 	
24	89	3153	41621			9349	8032	180	8903			202501		-3 419 		-3 419 	Idrottshall Borstahusen 	
25	90	6132	91300			4071	9502	180	006831			202501		 77 		 77 	H„rsl”vs fsk	
25	91	6132	91300			4071	9502	180	006831			202501		 215 		 215 	H„rsl”vs fsk	
25	92	3153	41612			9347	8035	120	006831			202501		-215 		-215 	H„rsl”vs fsk	
25	93	3153	41623			9349	8032	120	006831			202501		-77 		-77 	H„rsl”vs fsk	
26	94	3153	41612			9347	8036	180				202501		-5 600 		-5 600 	IP Guld„ngen	
26	95	6132	80350			3405	8122	180				202501		 5 600 		 5 600 	IP Guld„ngen	
27	96	6132	92300			4400	9502	180	006821			202501		 77 		 77 	H„rsl”vskolan	
27	97	6132	92300			4400	9502	180	006821			202501		 430 		 430 	H„rsl”vskolan	
27	98	3153	41612			9347	8035	120	006821			202501		-430 		-430 	H„rsl”vskolan	
27	99	3153	41623			9349	8032	120	006821			202501		-77 		-77 	H„rsl”vskolan	
28	100	6132	80350			3405	8105	180	08308			202501		 28 793 		 28 793 	Ishall 	
28	101	3153	41621			9349	8036	180	8909			202501		-28 793 		-28 793 	Ishall 	
28	102	6132	80350			3405	8105	180	08308			202501		 2 412 		 2 412 	Ishall 	
28	103	3153	41621			9349	8032	180	8909			202501		-2 412 		-2 412 	Ishall 	
29	104	3153	41611			9349	8032	180	0005			202501		-3 208 		-3 208 	Stadens f”rr†d 	
30	105	6132	70260			5681	7600	180				202501		 5 645 		 5 645 	Barn & unga ™V-huset v†n 3	
31	106	6132	80350			3405	8105	180	6020			202501		 64 073 		 64 073 	Karlslunds idrottshall	
31	107	3153	41621			9349	8036	180	8906			202501		-64 073 		-64 073 	Karlslunds idrottshall	
31	108	6132	80350			3405	8105	180	6020			202501		 6 757 		 6 757 	Karlslunds idrottshall	
31	109	3153	41621			9349	8036	180	8906			202501		-6 757 		-6 757 	Karlslunds idrottshall	
31	110	6132	80350			3405	8105	180	6020			202501		 1 731 		 1 731 	Karlslunds idrottshall	
31	111	3153	41612			9347	8035	180	8906			202501		-1 731 		-1 731 	Karlslunds idrottshall	
32	112	6132	95100			4799	9502	180	039111			202501		 6 432 		 6 432 	Industriprogrammet	
32	113	3153	41612			9347	8032	120	039111			202501		-6 432 		-6 432 	Industriprogrammet	
33	114	6132	80350			3405	8105	180	6057			202501		 17 843 		 17 843 	Karslund Omkl.rum kontor	
33	115	3153	41621			9349	8036	180	8908			202501		-17 843 		-17 843 	Karslund Omkl.rum kontor	
34	116	6132	80370			3402	8105	180				202501		 2 446 		 2 446 	Lill-Olas 	
34	117	3153	41612			9347	8036	180	0001			202501		-2 446 		-2 446 	Lill-Olas 	
35	118	3153	41611			9349	8036	162				202501		 -   		 -   	™V-huset  v†n 1&2 uppsagd 20241231	
36	119	6132	32301			5210	3111	180				202501		 1 039 		 1 039 	Parkgatan, daglig verksamhet	
36	120	6132	32301			5210	3111	180				202501		 2 443 		 2 443 	Parkgatan, daglig verksamhet	
36	121	6132	32301			5210	3111	180				202501		 204 		 204 	Parkgatan, daglig verksamhet	
36	122	3153	41632			9349	8036	130				202501		-2 443 		-2 443 	Parkgatan, daglig verksamhet	
36	123	3153	41612			9347	8036	130				202501		-1 039 		-1 039 	Parkgatan, daglig verksamhet	
36	124	3153	41612			9347	8035	130				202501		-204 		-204 	Parkgatan, daglig verksamhet	
37	125	3153	41612			9347	8036	170	0165			202501		-22 830 		-22 830 	Kolet  	
37	126	3153	41612			9347	8035	170	0165			202501		-306 		-306 	Kolet	
37	127	3153	41612			9347	8036	170	0165			202501		-2 673 		-2 673 	Kolet	
37	128	6132	70326			5583	7600	180				202501		 25 809 		 25 809 	Kolet	
38	129	6132	95100			4799	9502	180	034011			202501		 5 609 		 5 609 	Komvux	
38	130	6132	95100			4799	9502	180	034011			202501		 23 158 		 23 158 	Komvux	
38	131	3153	41633			9349	8036	120	034011			202501		-23 158 		-23 158 	Komvux	
38	132	3153	41612			9347	8035	120	034011			202501		-5 609 		-5 609 	Komvux	
39	133	3153	41622			9349	8036	162	0395			202501		-38 444 		-38 444 	Kulturskolan	
39	134	6132	62600			3300	6211	180	0395			202501		 42 014 		 42 014 	Kulturskolan	
39	135	3153	41612			9347	8035	162	0395			202501		-403 		-403 	Kulturskolan 	
39	136	3153	41612			9347	8035	162				202501		-3 167 		-3 167 	Kulturskolan 	
40	137	3153	41632			9349	8036	170	0304			202501		-29 141 		-29 141 	Kungsgatan 13 	
40	138	6132	70300			9243	7600	180				202501		 33 541 		 33 541 	Kungsgatan 13 	
40	139	3153	41612			9347	8035	170	0304			202501		-3 547 		-3 547 	Kungsgatan 13 	
40	140	3153	41612			9347	8035	170	0304			202501		-853 		-853 	Kungsgatan 13 	
41	141	3153	41633			9349	8036	170	0382			202501		-19 222 		-19 222 	Kvinnohuset	
41	142	6132	70290			5712	7600	180				202501		 19 222 		 19 222 	Kvinnohuset	
42	143	3153	41632			9349	8036	170	0372			202501		-2 365 		-2 365 	Lilla strandg 1 Hamn 	
42	144	3153	41632			9349	8032	170	0372			202501		-1 026 		-1 026 	Lilla strandg 1 Hamn 	
42	145	3153	41632			9349	8036	170	0372			202501		-213 		-213 	Lilla strandg 1 Hamn 	
42	146	6132	70340			5204	7600	180				202501		 213 		 213 	Lilla strandg 1 Hamn 	
42	147	6132	70340			5204	7600	180				202501		 1 026 		 1 026 	Lilla strandg 1 Hamn 	
42	148	6132	70340			5204	7600	180				202501		 2 365 		 2 365 	Lilla strandg 1 Hamn 	
